Date	Open	High	Low	Close	Adj Close	Volume
2020-08-13	208.99000549316406	209.0	207.69000244140625	207.85499572753906	207.85499572753906	299479
2020-08-13	207.8699951171875	209.27999877929688	207.71499633789062	209.1699981689453	209.1699981689453	214667
2020-08-13	209.1699981689453	209.27999877929688	208.2899932861328	208.82000732421875	208.82000732421875	221476
2020-08-13	208.8000030517578	209.30999755859375	207.92999267578125	209.02999877929688	209.02999877929688	212843
2020-08-13	209.07000732421875	209.3300018310547	208.24000549316406	208.25999450683594	208.25999450683594	393827
2020-08-13	208.39	208.81	208.02	208.81	208.81	0
2020-08-13	208.55	208.55	208.07	208.5	208.5	0
2020-08-13	208.39	208.77	208.39	208.55	208.55	0
2020-08-13	208.55	208.55	208.55	208.55	208.55	0
2020-08-14	207.5	207.5	206.83	206.83	206.83	0
2020-08-14	206.93	207.64	206.8002	206.99	206.99	0
2020-08-14	207.9681	207.9681	206.9	206.9	206.9	0
2020-08-14	207.4600067138672	208.0843963623047	206.61000061035156	207.5800018310547	207.5800018310547	485690
2020-08-14	207.56500244140625	208.48500061035156	207.3000030517578	208.3300018310547	208.3300018310547	247308
2020-08-14	208.3699951171875	209.47999572753906	208.0	208.62100219726562	208.62100219726562	335926
2020-08-14	208.6699981689453	208.86000061035156	207.91000366210938	208.50999450683594	208.50999450683594	205145
2020-08-14	208.50999450683594	209.22999572753906	208.42999267578125	208.7760009765625	208.7760009765625	215790
2020-08-14	208.75	208.80999755859375	207.80999755859375	208.0050048828125	208.0050048828125	154119
2020-08-14	207.9499969482422	208.1999969482422	207.74000549316406	208.0399932861328	208.0399932861328	345915
2020-08-14	208.08	208.08	206.6998	206.77	206.77	0
2020-08-14	207.01	207.97	206.74	206.74	206.74	0
2020-08-14	207.45	207.45	207.0	207.1499	207.1499	0
2020-08-14	207.15	207.15	207.15	207.15	207.15	0
2020-08-17	208.99	208.99	208.99	208.99	208.99	0
2020-08-17	206.06	206.12	206.06	206.12	206.12	0
2020-08-17	206.05	206.45	206.0	206.3	206.3	0
2020-08-17	206.26	207.0	206.26	207.0	207.0	0
2020-08-17	207.0	207.85000610351562	203.9499969482422	203.9550018310547	203.9550018310547	729308
2020-08-17	203.92999267578125	204.5800018310547	203.39999389648438	203.83999633789062	203.83999633789062	501295
2020-08-17	203.80999755859375	203.80999755859375	202.85000610351562	202.98500061035156	202.98500061035156	505626
2020-08-17	202.9893035888672	203.7698974609375	202.52999877929688	203.58999633789062	203.58999633789062	293726
2020-08-17	203.59010314941406	203.6999969482422	203.22000122070312	203.5749969482422	203.5749969482422	209564
2020-08-17	203.5749969482422	203.72999572753906	202.7899932861328	202.9600067138672	202.9600067138672	381793
2020-08-17	202.94000244140625	203.14999389648438	202.85000610351562	202.9199981689453	202.9199981689453	607391
2020-08-17	202.92	203.66	202.85	203.07	203.07	0
2020-08-17	203.07	203.07	203.0	203.0	203.0	0
2020-08-17	203.22	203.22	203.12	203.22	203.22	0
2020-08-17	203.07	203.07	203.07	203.07	203.07	0
2020-08-18	203.33	203.42	203.33	203.42	203.42	0
2020-08-18	203.45	204.1	203.45	204.1	204.1	0
2020-08-18	203.1	204.01	203.1	203.9749	203.9749	0
2020-08-18	203.4499969482422	203.5800018310547	201.24000549316406	201.4949951171875	201.4949951171875	566411
2020-08-18	201.4199981689453	202.3800048828125	201.16000366210938	202.28500366210938	202.28500366210938	644519
2020-08-18	202.35000610351562	203.41000366210938	202.19000244140625	202.5500030517578	202.5500030517578	324007
2020-08-18	202.60000610351562	202.63999938964844	202.1999969482422	202.32000732421875	202.32000732421875	171888
2020-08-18	202.32000732421875	202.5050048828125	201.91000366210938	202.0	202.0	230343
2020-08-18	202.00999450683594	202.0500030517578	201.1999969482422	201.7664031982422	201.7664031982422	314821
2020-08-18	201.7100067138672	202.00999450683594	201.10000610351562	201.32000732421875	201.32000732421875	355487
2020-08-18	201.31	203.9	201.31	203.52	203.52	0
2020-08-18	203.5	203.5	201.31	201.7	201.7	0
2020-08-18	202.15	202.15	202.15	202.15	202.15	0
2020-08-18	202.01	202.5	202.01	202.04	202.04	0
2020-08-19	202.0	202.0	201.71	201.71	201.71	0
2020-08-19	202.25	203.0	202.0	202.85	202.85	0
2020-08-19	202.4	202.5	202.0	202.5	202.5	0
2020-08-19	202.39999389648438	206.10000610351562	201.77000427246094	204.839599609375	204.839599609375	740563
2020-08-19	204.81500244140625	205.33999633789062	204.11000061035156	204.375	204.375	281639
2020-08-19	204.3699951171875	205.1199951171875	203.9199981689453	204.0399932861328	204.0399932861328	171945
2020-08-19	204.0500030517578	204.16000366210938	203.33799743652344	203.61000061035156	203.61000061035156	190848
2020-08-19	203.5800018310547	204.83999633789062	203.47999572753906	204.4199981689453	204.4199981689453	211907
2020-08-19	204.4250030517578	204.67999267578125	203.8800048828125	204.1699981689453	204.1699981689453	230158
2020-08-19	204.17999267578125	204.1999969482422	202.77000427246094	203.14999389648438	203.14999389648438	271484
2020-08-19	203.02	203.9563	203.0	203.0	203.0	0
2020-08-19	203.21	203.49	203.02	203.02	203.02	0
2020-08-19	203.25	203.25	203.05	203.05	203.05	0
2020-08-19	203.0	203.0	202.45	202.6	202.6	0
2020-08-20	202.38	202.38	201.68	201.68	201.68	0
2020-08-20	201.76	201.76	201.76	201.76	201.76	0
2020-08-20	201.9	201.9	201.58	201.7	201.7	0
2020-08-20	201.51	201.54	201.0	201.1	201.1	0
2020-08-20	200.75999450683594	203.27999877929688	200.33999633789062	202.4600067138672	202.4600067138672	493300
2020-08-20	202.47000122070312	202.47000122070312	201.08999633789062	201.41000366210938	201.41000366210938	218027
2020-08-20	201.3000030517578	202.57989501953125	201.27999877929688	202.36000061035156	202.36000061035156	174303
2020-08-20	202.3800048828125	202.80999755859375	201.99000549316406	202.4199981689453	202.4199981689453	135282
2020-08-20	202.49000549316406	202.8699951171875	201.89999389648438	201.92999267578125	201.92999267578125	115067
2020-08-20	201.94000244140625	202.27000427246094	201.35000610351562	201.5800018310547	201.5800018310547	189029
2020-08-20	201.5399932861328	202.25999450683594	201.39999389648438	201.8800048828125	201.8800048828125	278348
2020-08-20	201.85	202.37	201.65	201.7	201.7	0
2020-08-20	201.85	201.85	201.85	201.85	201.85	0
2020-08-20	201.78	201.78	201.78	201.78	201.78	0
2020-08-21	201.34	201.85	201.34	201.85	201.85	0
2020-08-21	201.56	201.77	200.38	200.82	200.82	0
2020-08-21	200.6	201.25	200.6	201.1	201.1	0
2020-08-21	200.11000061035156	203.09080505371094	199.82000732421875	201.77000427246094	201.77000427246094	645946
2020-08-21	201.72999572753906	202.16000366210938	201.0500030517578	201.55999755859375	201.55999755859375	122695
2020-08-21	201.56930541992188	201.97000122070312	201.18499755859375	201.6199951171875	201.6199951171875	127283
2020-08-21	201.6199951171875	202.86000061035156	201.55999755859375	202.61000061035156	202.61000061035156	123767
2020-08-21	202.61000061035156	203.35000610351562	202.4600067138672	202.5500030517578	202.5500030517578	148001
2020-08-21	202.57000732421875	202.92999267578125	202.41000366210938	202.6699981689453	202.6699981689453	147957
2020-08-21	202.61000061035156	202.7899932861328	202.3300018310547	202.4600067138672	202.4600067138672	249406
2020-08-21	202.43	202.5	202.1024	202.5	202.5	0
2020-08-21	202.43	202.43	202.43	202.43	202.43	0
2020-08-21	202.5	202.5	202.5	202.5	202.5	0
2020-08-24	204.0	204.0	204.0	204.0	204.0	0
2020-08-24	203.6	204.3499	203.54	204.3499	204.3499	0
2020-08-24	204.35	204.4822	204.0	204.04	204.04	0
2020-08-24	203.11000061035156	204.5	201.32000732421875	203.9199981689453	203.9199981689453	671981
2020-08-24	203.875	204.49000549316406	203.5800018310547	203.9600067138672	203.9600067138672	362724
2020-08-24	203.9499969482422	204.5	202.86000061035156	203.3800048828125	203.3800048828125	226032
2020-08-24	203.27999877929688	204.58999633789062	203.19000244140625	204.58999633789062	204.58999633789062	250728
2020-08-24	204.5399932861328	205.50999450683594	204.2100067138672	205.50999450683594	205.50999450683594	256765
2020-08-24	205.4781951904297	206.1999969482422	204.875	206.13499450683594	206.13499450683594	412465
2020-08-24	206.1199951171875	207.42999267578125	206.0500030517578	207.35000610351562	207.35000610351562	511029
2020-08-24	207.34	207.5	204.9283	207.03	207.03	0
2020-08-24	206.87	207.4	206.87	207.4	207.4	0
2020-08-24	207.31	207.31	207.31	207.31	207.31	0
2020-08-25	209.35	209.37	209.24	209.37	209.37	0
2020-08-25	209.3	209.88	209.25	209.88	209.88	0
2020-08-25	209.48	209.9	208.2	209.5	209.5	0
2020-08-25	209.0	209.6	208.4731	209.0	209.0	0
2020-08-25	209.99000549316406	210.49000549316406	207.27999877929688	207.2899932861328	207.2899932861328	741703
2020-08-25	207.27999877929688	207.2899932861328	205.55999755859375	206.3300018310547	206.3300018310547	536249
2020-08-25	206.32000732421875	206.5406036376953	205.1699981689453	205.9600067138672	205.9600067138672	220837
2020-08-25	205.97000122070312	206.3800048828125	205.5800018310547	206.1999969482422	206.1999969482422	208953
2020-08-25	206.18499755859375	207.27999877929688	206.05999755859375	206.3699951171875	206.3699951171875	223461
2020-08-25	206.35000610351562	206.35000610351562	205.8800048828125	206.24000549316406	206.24000549316406	193614
2020-08-25	206.22999572753906	206.4499969482422	205.91000366210938	205.9499969482422	205.9499969482422	330679
2020-08-25	206.0	206.9144	206.0	206.0	206.0	0
2020-08-25	206.0	206.19	206.0	206.19	206.19	0
2020-08-26	205.47	205.57	205.47	205.55	205.55	0
2020-08-26	205.56	206.0	205.5	205.5	205.5	0
2020-08-26	205.7	206.0	205.7	206.0	206.0	0
2020-08-26	205.88999938964844	207.125	205.02999877929688	205.7899932861328	205.7899932861328	485464
2020-08-26	205.88270568847656	206.75	205.6699981689453	206.16000366210938	206.16000366210938	158096
2020-08-26	206.03990173339844	206.55999755859375	205.83099365234375	206.1999969482422	206.1999969482422	129349
2020-08-26	206.18499755859375	206.7100067138672	205.60000610351562	205.6199951171875	205.6199951171875	147766
2020-08-26	205.66000366210938	206.4600067138672	205.60000610351562	206.3699951171875	206.3699951171875	114378
2020-08-26	206.375	206.375	205.82000732421875	206.1699981689453	206.1699981689453	144873
2020-08-26	206.15499877929688	207.27999877929688	205.4499969482422	207.2100067138672	207.2100067138672	684747
2020-08-26	207.21	207.29	206.86	207.0	207.0	0
2020-08-26	207.0	207.22	206.91	207.22	207.22	0
2020-08-26	207.0	207.0	206.8	206.8	206.8	0
2020-08-27	206.01	206.01	206.01	206.01	206.01	0
2020-08-27	206.0002	206.0002	206.0	206.0	206.0	0
2020-08-27	207.0	207.22	206.3	206.3	206.3	0
2020-08-27	206.67999267578125	211.62469482421875	206.41000366210938	210.24000549316406	210.24000549316406	1104353
2020-08-27	210.25	213.0	210.11000061035156	211.3699951171875	211.3699951171875	703954
2020-08-27	211.41000366210938	211.75	209.76010131835938	209.76010131835938	209.76010131835938	405662
2020-08-27	209.80999755859375	211.3000030517578	209.4600067138672	210.6999969482422	210.6999969482422	315946
2020-08-27	210.74000549316406	210.9600067138672	210.27999877929688	210.7100067138672	210.7100067138672	257011
2020-08-27	210.7523956298828	211.3699951171875	210.72000122070312	211.22999572753906	211.22999572753906	264806
2020-08-27	211.25999450683594	211.25999450683594	210.08999633789062	210.13999938964844	210.13999938964844	355959
2020-08-27	210.09	210.5	210.09	210.5	210.5	0
2020-08-27	210.56	211.305	210.15	210.1502	210.1502	0
2020-08-28	212.13	212.13	212.12	212.12	212.12	0
2020-08-28	212.0	212.3	212.0	212.3	212.3	0
2020-08-28	211.85	212.2749	211.85	212.15	212.15	0
2020-08-28	211.52	212.08	211.5	211.78	211.78	0
2020-08-28	211.88999938964844	212.0	208.85000610351562	208.85000610351562	208.85000610351562	464943
2020-08-28	208.85000610351562	209.3300018310547	208.55499267578125	208.85000610351562	208.85000610351562	249563
2020-08-28	208.85000610351562	209.44549560546875	208.69000244140625	209.15499877929688	209.15499877929688	287332
2020-08-28	209.16000366210938	209.5800018310547	208.75	208.83999633789062	208.83999633789062	250202
2020-08-28	208.8699951171875	209.22000122070312	208.7100067138672	209.02000427246094	209.02000427246094	164176
2020-08-28	208.97000122070312	209.4199981689453	208.81500244140625	209.14999389648438	209.14999389648438	175222
2020-08-28	209.14999389648438	209.3800048828125	207.08999633789062	207.6300048828125	207.6300048828125	963441
2020-08-28	207.3	207.91	207.25	207.7	207.7	0
2020-08-28	207.71	209.1919	207.71	207.75	207.75	0
2020-08-28	207.79	207.84	207.78	207.78	207.78	0
2020-08-28	207.88	207.88	207.76	207.76	207.76	0
2020-08-31	207.46	207.7	207.46	207.66	207.66	0
2020-08-31	206.76	206.76	205.94	206.0	206.0	0
2020-08-31	205.5	206.41000366210938	204.3800048828125	205.31239318847656	205.31239318847656	611182
2020-08-31	205.4199981689453	206.3000030517578	203.6300048828125	203.6999969482422	203.6999969482422	453498
2020-08-31	203.72000122070312	205.33999633789062	203.6300048828125	204.6999969482422	204.6999969482422	292558
2020-08-31	204.64999389648438	204.83999633789062	204.08999633789062	204.6199951171875	204.6199951171875	234219
